Time_h,VPP1_PV_kW,VPP2_PV_kW,VPP3_PV_kW,VPP1_Wind_kW,VPP2_Wind_kW,VPP3_Wind_kW,VPP1_Gas_kW,VPP2_Gas_kW,VPP3_Gas_kW,VPP1_Bat_kW,VPP2_Bat_kW,VPP3_Bat_kW,VPP1_Load_kW,VPP2_Load_kW,VPP3_Load_kW,VPP1_Shed_kW,VPP2_Shed_kW,VPP3_Shed_kW,VPP1_Curtail_kW,VPP2_Curtail_kW,VPP3_Curtail_kW,VPP1_SOC,VPP2_SOC,VPP3_SOC,VPP1_Freq_Hz,VPP2_Freq_Hz,VPP3_Freq_Hz
9.4,138.056516285801,83.0226100503027,110.655180462816,51.2955947761444,163.282693557493,34.8390669865471,0,0,0,0,0,-0.987795433362592,1111.04,888.832,777.728,0,0,0,78.3121110619451,157.473303611519,119.620454554673,0.9,0.9,0.130828632622482,50.0561750556036,50.0513070750104,50.0735783555943
9.5,133.586013602588,79.7011056821451,109.046592930051,35.9727379951728,114.507407119908,24.4320518004047,0,0,0,0,0,-0.995294269103141,1088.32,870.656,761.824,0,0,0,81.2387515977607,123.552512802053,114.895987218868,0.9,0.9,0.131057550304375,50.0582733778162,50.051712326675,50.0741219727848
9.6,142.623162063589,86.8835078797549,116.897629080823,41.3855942120082,131.737458682451,28.108368668351,0,0,0,0,0,-1.00282036567017,1119.36,895.488,783.552,0,0,0,64.6487562755971,123.132966562206,124.254217130717,0.9,0.9,0.131288198988479,50.0599520355863,50.0520365280066,50.0746701922926
9.7,138.770614943678,87.1718173287065,114.838416572713,49.4782063951159,157.497634014087,33.6047287198102,0,0,0,0,0,-1.01037903265677,1135.52,908.416,794.864,0,0,0,52.7288213387937,136.253451342793,131.280282429909,0.9,0.9,0.131520586165991,50.0612949618024,50.052295889072,50.0752229473421
9.8,146.03055519641,85.3235660088035,112.821694208244,40.506326601003,128.938598770419,27.5111855509197,0,0,0,0,0,-1.01797470274012,1132.64,906.112,792.848,0,0,0,53.8968817974124,108.15016478178,136.519363149989,0.9,0.9,0.131754720347621,50.0623693027753,50.0525033779246,50.0757801887795
9.9,144.065703894195,87.1161847295288,114.169055804822,52.3242194149239,166.556982556626,35.5376907738497,0,0,0,0,0,-1.02561108961453,1152.16,921.728,806.512,0,0,0,44.2299233101651,131.945167286155,139.947882542093,0.9,0.9,0.131990610898232,50.0632287755537,50.0526693690063,50.0763418819528
10,143.249696791135,85.7340000814771,111.715874350738,55.9242603388083,178.01653150102,37.982775336157,0,0,0,0,0,-1.03329131754917,1138.4,910.72,796.88,0,0,0,60.7739571299431,153.030531582498,129.455902207648,0.9,0.9,0.132228267901268,50.0639163537763,50.0528021618717,50.0769080041519
10.1,147.713947730436,88.5696515360914,114.402656534389,53.1569501119501,169.207707473879,36.1032668367077,0,0,0,0,0,-1.04101802773133,1168.96,935.168,818.272,0,0,0,31.9108978423855,122.60935900997,149.166050752219,0.9,0.9,0.132467702047647,50.0644664163543,50.0529083961641,50.0774785425088
10.2,143.841206569706,88.9592133906774,113.894781497551,59.685754194934,189.990012875172,40.5375158941901,0,0,0,0,0,0.749468215657927,1185.92,948.736,830.144,0,0,0,17.6069607646396,130.213226265849,154.432297391741,0.9,0.9,0.132264042206435,50.0649064664168,50.0529933835979,50.0780534922738
10.3,145.126289719705,85.8730780132457,117.379580676171,80.210170435809,255.322756985661,54.4773389023085,0,0,0,0,0,-2.69378655692098,1156.96,925.568,809.872,0,0,0,68.376460155514,215.627834998907,119.283405101859,0.9,0.9,0.132883613114527,50.0652585064668,50.053061373545,50.0786328554026
10.4,149.368452137376,88.6143485524382,115.502904038031,76.1508285082366,242.401174013528,51.7203051657241,0,0,0,0,0,-2.32766305638421,1160.64,928.512,812.448,0,0,0,64.8792806456126,202.503522565966,125.22479079627,0.9,0.9,0.133418975617495,50.0655401385068,50.0531157655027,50.0792166393963
10.5,144.546499518658,90.5614811482243,118.127041756938,74.3042963020808,236.523344666241,50.4661729248597,0,0,0,0,0,-3.23658624907875,1189.44,951.552,832.608,0,0,0,29.4107958207389,175.532825814465,144.014785318196,0.9,0.9,0.134163390454784,50.0657654441387,50.0531592790688,50.0798048563502
10.6,149.910685165966,92.6330007829553,128.00310387514,67.2166364431662,213.962105288213,45.6523588404303,0,0,0,0,0,-4.15227820337252,1195.36,956.288,836.752,0,0,0,21.7673216096473,150.307106074722,143.09653728441,0.9,0.9,0.135118414441559,50.0659456886444,50.0531940899222,50.080397522174
10.7,147.238196602964,91.7977417518871,119.472076627673,59.685754194934,189.990012875172,40.5375158941901,0,0,0,0,0,-5.07478658986024,1172.48,937.984,820.736,0,0,0,34.4439507978982,143.803754627059,140.726407478091,0.9,0.9,0.136285615357227,50.0660898842488,50.0532219386044,50.0809946559512
10.8,144.290767158967,90.5356961173349,121.668745026574,69.4432671891555,221.049853609481,47.1646473332797,0,0,0,0,0,-6.00415990481069,1177.76,942.208,824.432,0,0,0,35.9740343481224,169.377549726816,135.598607640101,0.9,0.9,0.137666572135334,50.0662052407324,50.0532442175502,50.0815962794149
10.9,151.973692932758,86.573435571312,115.488289065396,61.9752441174082,197.277852757831,42.0924972356132,0,0,0,0,0,-6.94044739170953,1183.36,946.688,828.352,0,0,0,30.5889370501666,137.163288329143,150.771213698936,0.9,0.9,0.139262875035427,50.0662975259193,50.0532620407068,50.0822024165175
11,144.309555909816,81.4509155827225,112.39140806631,65.2778162583879,207.790507444855,44.3355462254848,0,0,0,0,0,-7.88369897740185,1173.6,938.88,821.52,0,0,0,35.9873721682037,150.361423027577,144.793045708208,0.9,0.9,0.141076125800229,50.0663713540687,50.0532762992321,50.0828130930776
11.1,146.431610814551,88.8870994094986,112.019337447562,63.3766418730667,201.738742650773,43.044301976298,0,0,0,0,0,-8.83396522020914,1182.72,946.176,827.904,0,0,0,27.0882526876178,144.449842060271,152.840360576148,0.9,0.9,0.143107937800877,50.0664304165883,50.0532877060524,50.0834283364915
11.2,149.498682584784,84.0120525007905,115.193910633385,70.9546764030042,225.86092887982,48.1911699240626,0,0,0,0,0,-9.79129726788995,1185.28,948.224,829.696,0,0,0,35.1733589877886,161.64898138061,146.310919442567,0.9,0.9,0.145359936172492,50.066477666604,50.0532968315086,50.0840481754956
11.3,154.829013011475,92.3669091627739,121.020873932217,75.6201626293296,240.711973323583,51.359886221692,0,0,0,0,0,-10.7557468236631,1191.84,953.472,834.288,0,0,0,38.6091756408045,179.606882486357,141.907239846117,0.9,0.9,0.147833757941934,50.0665154666165,50.0533041318735,50.0846726399729
11.4,143.615154796705,90.9744576452811,116.138582242899,86.710655709319,276.01491874968,58.8923543218042,0,0,0,0,0,-11.7273661188667,1204.64,963.712,843.248,0,0,0,25.685810506024,203.277376394961,148.217063435254,0.9,0.9,0.150531052149274,50.0665457066266,50.0533099721655,50.0853017607942
11.5,153.522066455047,89.3272738912381,115.302499615315,79.3870394512842,252.702589603055,53.9182827955666,0,0,0,0,0,-12.7062078910621,1211.36,969.088,847.952,0,0,0,21.5491059063313,172.941863494293,158.731217589131,0.9,0.9,0.153453479964218,50.0665698986346,50.0533146443991,50.0859355696875
11.6,146.410938790741,87.0857830006443,114.142298187715,77.4883420351961,246.658709427721,52.628720860376,0,0,0,0,0,-5.39436346277901,1231.2,984.96,861.84,0,0,0,2.57154269087668,148.784492428365,166.771019048091,0.9,0.9,0.154694183560657,50.0672198091054,50.0533183821859,50.0865740991322
11.7,144.849503300498,86.5021284928849,114.518616114126,69.9446606909112,222.64587529236,47.5051849929075,0,0,0,0,0,-14.6857722468615,1201.28,961.024,840.896,0,0,0,13.514163991409,148.124003785245,158.872198892965,0.9,0.9,0.158071911177435,50.0671091806177,50.0533213724154,50.087217382272
11.8,151.254264559427,88.7013209854039,115.267297825893,70.1962599490831,223.446758969616,47.6760667898234,0,0,0,0,0,-3.68660269754278,1228.96,983.168,860.272,0,0,2.38527076856827,2.64533776073232,128.980080016723,162.943364615716,0.9,0.9,0.15891982979787,50.0676692295249,50.0533237646072,50.087865452844
11.9,145.583950940822,89.3593728823614,118.093662268299,78.5695592292813,250.100409568666,53.3630645874763,0,0,0,0,0,-16.6948713403693,1215.52,972.416,850.864,0,0,0,8.63351017010288,167.04378253094,159.407273144213,0.9,0.9,0.162759650206155,50.0674687169533,50.0533256783631,50.0885183451205
12,144.591655931986,91.0239261621117,117.738229447655,89.3469505189648,284.406698188229,60.6828794511131,0,0,0,0,0,-17.7106332468934,1218.88,975.104,853.216,0,0,0,15.058606450951,200.326624350341,154.794891101238,0.9,0.9,0.166833095852941,50.0673083068959,50.0533272093571,50.0891760938627
12.1,139.421903304302,84.4912351933112,114.764510169629,80.210170435809,255.322756985661,54.4773389023085,0,0,0,0,0,-16.9456420778235,1228.96,983.168,860.272,0,0,0,3.28815759587021,156.645992178972,169.241849071938,0.9,0.9,0.17073059353084,50.0679852813386,50.0533284341524,50.0898387342813
12.2,148.977778652763,92.4090135308789,117.676655058628,92.944390727275,295.857968608006,63.1261976530829,0,0,0,0,0,-19.7648593604931,1205.76,964.608,844.032,0,0,0,36.1621693800382,223.658982138885,143.229147288296,0.9,0.9,0.175276511183753,50.0677215584042,50.0533294139886,50.0905063020065
12.3,144.385142593368,86.5992409416315,115.58688852644,108.973578646718,346.881628445615,74.0129405420673,0,0,0,0,0,-20.8034359255836,1224.16,979.328,856.912,0,0,0,0,194.408750936962,177.184230156612,0.9,0.9,0.180061301446638,50.0735747702998,50.0533301978575,50.0911788330619
12.4,143.888766780639,86.7549378765037,118.314039824842,109.650431244231,349.036166583746,74.4726469376687,0,0,0,0,0,-21.8497304672934,1219.52,975.616,853.664,0,0,0,34.0191980248696,260.175104460249,140.877313237471,0.9,0.9,0.185086739454115,50.0721931495731,50.0533308249527,50.0918563638452
12.5,151.483509955466,89.3157399542961,118.033470900542,130.138702380352,414.2538546141,88.3879208255116,0,0,0,0,0,-22.9038002623965,1220.96,976.768,854.672,0,0,0,48.4856121059807,317.060314384527,133.121248365842,0.9,0.9,0.190354613514466,50.0710878529918,50.0533313266288,50.0925389311111
12.6,142.549757346516,84.2188163785464,116.122816178583,110.330080749332,351.199607759392,74.9342529437776,0,0,0,0,0,-23.9657030266988,1214.4,971.52,850.08,0,0,0,3.52573473486891,183.041433862276,179.451426015499,0.9,0.9,0.195866725210607,50.0780790377287,50.0533317279697,50.0932265719591
12.7,141.55410888926,85.9055449250126,118.154124565532,93.2484615576794,296.825878317161,63.3327172202181,0,0,0,0,0,-13.0354969158891,1237.12,989.696,865.984,0,0,0.0557430372265217,3.52573473481591,134.944570024719,181.48684178575,0.9,0.9,0.198864889501262,50.0842300003072,50.0533320490424,50.0939193238228
12.8,143.703544776611,88.5303711726422,117.927299136964,77.4883420351961,246.658709427721,52.628720860376,0,0,0,0,0,-25.5521531043989,1191.36,953.088,833.952,0,0,0,3.52573473471193,126.658825766116,170.55601999734,0.9,0.9,0.204741884715273,50.0855100265119,50.0533323059006,50.0946172244618
12.9,144.522167501281,84.6969907683041,118.352232993845,101.388936302461,322.738408408006,68.8615846828803,0,0,0,0,0,-27.1989928992651,1185.44,948.352,829.808,0,0,0,3.52573473481609,168.28994745027,167.990908186305,0.9,0.9,0.210997653082104,50.0883406846921,50.0533325113872,50.095320311956
13,144.630542638072,84.6346881724919,109.201078644003,111.012532928841,353.371970329331,75.3977624771167,0,0,0,0,0,-28.292813517667,1176,940.8,823.2,0,0,0,3.52573473480865,168.826727812983,182.79112422527,0.9,0.9,0.217505000191168,50.0930570694123,50.0533326757769,50.0960286247005
13.1,144.968422588832,89.8758769153794,114.692022644524,109.311655692452,347.95778578229,74.2425565333497,0,0,0,0,0,-29.3639979145064,1167.36,933.888,817.152,0,0,0,14.9497286057664,142.449817188045,188.934579177874,0.9,0.9,0.224258719711504,50.0970800235402,50.0533328072882,50.0967422014022
13.2,142.514366644111,83.4408118508861,112.360564908787,113.076763182016,359.942769972695,76.7997514077422,0,0,0,0,0,-18.5048996679349,1155.84,924.672,809.088,0,0,19.5437093176507,102.189725050641,77.1588979221637,189.160316316529,0.9,0.9,0.228514846635129,50.1005351056507,50.0533329124972,50.0974610810775
13.3,148.27932664464,89.2665808442898,117.27300459488,99.1524971571797,315.619438266174,67.3426344975124,0,0,0,0,0,-19.6232864137666,1167.84,934.272,817.488,0,0,29.0029183493196,102.273667533384,45.121626042254,184.615639092393,0.9,0.9,0.233028202510296,50.1035253536696,50.0533329966645,50.0981853030505
13.4,142.172181942523,84.5357675243247,115.215104826096,134.754036737697,428.94525704007,91.5225748546261,0,0,0,0,0,-20.7499838388726,1158.72,926.976,811.104,0,0,15.0503332560573,155.348012863495,87.6616393293923,206.737679680722,0.9,0.9,0.237800698793236,50.1061353258368,50.0533330639982,50.0989149069522
